Job No,Date,Client,Type, Pricing ,Truck,Location,Crew Event,Cameraman,Assistant,4G,Duration Crew,Crew Start Time,Crew End Time,Camera,Camera Qty,Others Acces,Reporter,Editor,Story,Report Duration,Format,Note,Edit S.T.,Edit E.T.,Crew Duration,edit duration
14,5-Jan-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,3:00,2023-08-17 12:00:00,2023-08-17 15:00:00,Sony S150,1.0,Pro-X,No Reporter,Editor needed,Story,0:02:22,MP4-HD,PKG Report-Omar El Soloh:  Mikati and Aoun meeting /  Duration: 2Mins 22Secs,2023-08-17 14:00:00,2023-08-17 15:00:00,180.0,60.0
16,5-Jan-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 12:00:00,2023-08-17 13:00:00,Sony S150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volantmedia ,0,0,60.0,0.0
17,6-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,hamra,Event Description,Cameraman,Assistant Needed,no 4G,3:30,2023-08-17 11:30:00,2023-08-17 15:00:00,Sony S150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:28,MXF-HD 50i,PKG Report-Leila Khalil: New cabinet crisis /  Duration: 2Mins 28Secs,2023-08-17 13:00:00,2023-08-17 15:00:00,210.0,120.0
18,6-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,bourj,Event Description,Cameraman,Assistant Needed,no 4G,4:10,2023-08-17 10:20:00,2023-08-17 14:30:00,Sony S150,1.0,Pro-X,Reporter,Editor needed,Story,0,No format,No Notes,2023-08-17 17:00:00,2023-08-17 19:00:00,250.0,120.0
19,6-Jan-22,bloomberg asharq,crew, $265.00 ,Renault Duster,tripoli,Event Description,Cameraman,Assistant Needed,no 4G,6:30,2023-08-17 11:00:00,2023-08-17 17:30:00,Sony S150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-Maha Hoteit:,0,0,390.0,0.0
20,7-Jan-22,alghad tv,crew + edit, $265.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,2:10,2023-08-17 11:00:00,2023-08-17 13:10:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:03:39,MXF,PKG report -Nawafez -Intro-Episode 92 - Leila Khalil / Duration: 3mins 39 seconds,2023-08-17 12:00:00,2023-08-17 12:20:00,130.0,20.0
21,7-Jan-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 13:00:00,2023-08-17 14:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:50,MP4-HD,PKG report-Omar el Solh: Aoun - Berry / Duration: 2Mins 50Secs,2023-08-17 13:30:00,2023-08-17 15:00:00,60.0,90.0
22,7-Jan-22,beirutsat,crew, $180.00 ,Renault Duster,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 13:00:00,2023-08-17 14:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format, Volantmedia,0,0,60.0,0.0
23,7-Jan-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:13,MXF,PKG report - Namnamat - Play-Ziad Itani- Sett Donia - Leila Khalil- /Duration:3 mins 13 seconds,2023-08-17 12:30:00,2023-08-17 14:30:00,0.0,120.0
24,8-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,4:25,2023-08-17 10:20:00,2023-08-17 14:45:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:22,MXF,Rushes-Claudie Abi Hanna-Black Demo/Duration: 2Mins 22Secs,2023-08-17 13:40:00,2023-08-17 14:00:00,265.0,20.0
25,8-Jan-22,alghad tv,crew + edit, $265.00 ,Nissan X.Trail,hamra,Event Description,Cameraman,Assistant Needed,no 4G,0:45,2023-08-17 11:15:00,2023-08-17 12:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:03:35,MXF,PKG report -Claudie Abi Hanna-Vaccine controversy /Duration: 2Mins 35Secs,2023-08-17 14:50:00,2023-08-17 16:20:00,45.0,90.0
26,8-Jan-22,alghad tv,crew, $750.00 ,Suzuki Cias,hazmieh,Event Description,Cameraman,Assistant Needed,4G,4:00,2023-08-17 08:30:00,2023-08-17 12:30:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,240.0,0.0
27,8-Jan-22,russia today,crew + edit, $280.00 ,No Car,hamra,Event Description,Cameraman,Assistant Needed,no 4G,3:30,2023-08-17 10:30:00,2023-08-17 14:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:35,MP4-HD,PKG Report-Omar El Soloh: vaccine and lira demos /Duration: 2Mins 35Secs,2023-08-17 13:00:00,2023-08-17 14:00:00,210.0,60.0
28,8-Jan-22,bloomberg asharq,crew + edit, $285.00 ,Renault Duster,hamra,Event Description,Cameraman,Assistant Needed,no 4G,2:00,2023-08-17 10:00:00,2023-08-17 12:00:00,Sony Z150,1.0,Pro-X,No Reporter,Editor needed,Story,00:01:08/00:03:02,MP4-HD, Voxpop-Amanda Borodhy-Women Movement/Duration: 1min 8 seconds -  Rushes-Amanda Borodhy-Women Movement/Duration: 3mins 2second,2023-08-17 12:00:00,2023-08-17 13:00:00,120.0,60.0
29,8-Jan-22,newstime,renting editor, $40.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:14,MP4-HD,No Notes,2023-08-17 13:30:00,2023-08-17 15:30:00,0.0,120.0
30,10-Jan-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,hamra,Event Description,Cameraman,Assistant Needed,no 4G,2:00,2023-08-17 12:30:00,2023-08-17 14:30:00,Canon XF305,1.0,Pro-X,No Reporter,Editor needed,Story,0:05:49,MP4-HD,Daily crew,2023-08-17 14:30:00,0,120.0,0.0
31,10-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,batrakiyeh,Event Description,Cameraman,Assistant Needed,no 4G,2:30,2023-08-17 12:00:00,2023-08-17 14:30:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:01:57,MXF,PKG report-Leila Khalil: ,2023-08-17 14:00:00,2023-08-17 15:30:00,150.0,90.0
32,10-Jan-22,alghad tv,crew + edit, $265.00 ,Nissan X.Trail,achrafieh,Event Description,Cameraman,Assistant Needed,no 4G,3:30,2023-08-17 14:00:00,2023-08-17 17:30:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:35,MXF,PKG report-Claudie Abi Hanna:,2023-08-17 17:50:00,2023-08-17 19:50:00,210.0,120.0
34,10-Jan-22,beirutsat,crew + edit, $230.00 ,Suzuki Cias,achrafieh,Event Description,Cameraman,Assistant Needed,no 4G,2:30,2023-08-17 10:30:00,2023-08-17 13:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,00:03:45,MP4-HD,VolantMedia,2023-08-17 00:00:00,2023-08-17 07:12:00,150.0,432.0
35,10-Jan-22,beirutsat,crew, $180.00 ,Suzuki Cias,achrafieh,Event Description,Cameraman,Assistant Needed,no 4G,2:15,2023-08-17 15:45:00,2023-08-17 18:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,VolantMedia,0,0,135.0,0.0
36,10-Jan-22,newstime,renting editor, $40.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:00,MP4-HD,Dubai TV,2023-08-17 18:00:00,2023-08-17 19:00:00,0.0,60.0
37,10-Jan-22,bloomberg asharq,crew, $265.00 ,Renault Duster,tripoli,Event Description,Cameraman,Assistant Needed,no 4G,2:00,2023-08-17 12:00:00,2023-08-17 14:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,No Notes,0,0,120.0,0.0
38,11-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,hamra,Event Description,Cameraman,Assistant Needed,no 4G,4:40,2023-08-17 11:00:00,2023-08-17 15:40:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:33,MXF,No Notes,2023-08-17 14:40:00,2023-08-17 16:40:00,280.0,120.0
39,11-Jan-22,alghad tv,crew, $250.00 ,Suzuki Cias,chatela,Event Description,Cameraman,Assistant Needed,no 4G,4:30,2023-08-17 11:00:00,2023-08-17 15:30:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,270.0,0.0
40,11-Jan-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 10:30:00,2023-08-17 12:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volantmedia,0,0,90.0,0.0
41,11-Jan-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 12:00:00,2023-08-17 13:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:28,MP4-HD,No Notes,2023-08-17 13:00:00,2023-08-17 14:30:00,60.0,90.0
44,12-Jan-22,alghad tv,crew, $250.00 ,Suzuki Cias,bourj el brajne,Event Description,Cameraman,Assistant Needed,no 4G,3:10,2023-08-17 11:00:00,2023-08-17 14:10:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-Hanan Issa:,0,0,190.0,0.0
45,12-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,badaro,Event Description,Cameraman,Assistant Needed,no 4G,3:40,2023-08-17 10:20:00,2023-08-17 14:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:23,MXF-HD 50i,PKG report-Leila Khalil:,2023-08-17 14:00:00,2023-08-17 15:15:00,220.0,75.0
48,12-Jan-22,bloomberg asharq,crew + edit, $285.00 ,Renault Duster,tripoli,Event Description,Cameraman,Assistant Needed,no 4G,5:30,2023-08-17 09:00:00,2023-08-17 14:30:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:03:05,MP4,PKG report-Maha Hoteit: ,2023-08-17 17:15:00,2023-08-17 19:00:00,330.0,105.0
49,12-Jan-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:28,MXF-HD 50i,PKG report-Hanan Issa: ,2023-08-17 15:30:00,2023-08-17 17:15:00,0.0,105.0
50,12-Jan-22,newstime,renting editor, $40.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:03:45,MP4-HD,No Notes,2023-08-17 11:30:00,2023-08-17 12:30:00,0.0,60.0
51,13-Jan-22,bbc arabic,crew + edit, $350.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 14:00:00,2023-08-17 15:00:00,Sony Z150,1.0,Pro-X,No Reporter,Editor needed,Story,0:01:29,MP4-HD,Daily crew,2023-08-17 12:30:00,2023-08-17 13:00:00,60.0,30.0
52,13-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,4:15,2023-08-17 08:20:00,2023-08-17 12:35:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,00:02:31 / 00:00:37,MXF,PKG report-Claudie Abi Hanna- Drivers Demo / Duration: 2Mins 31Secs,2023-08-17 13:30:00,2023-08-17 15:30:00,255.0,120.0
54,13-Jan-22,bloomberg asharq,crew, $285.00 ,Renault Duster,downtown,Event Description,Cameraman,Assistant Needed,4G,6:35,2023-08-17 06:55:00,2023-08-17 13:30:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-Maha Hoteit,0,0,395.0,0.0
55,13-Jan-22,russia today,crew + edit, $280.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,4G,9:45,2023-08-17 06:40:00,2023-08-17 16:25:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:33,MP4-HD,Pkg report-Omar El Solh:Strike / Duration:2Mins 33Secs,2023-08-17 12:00:00,2023-08-17 13:30:00,585.0,90.0
58,13-Jan-22,beirutsat,crew, $180.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,3:40,2023-08-17 08:20:00,2023-08-17 12:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Ruptly,0,0,220.0,0.0
59,13-Jan-22,bbc arabic,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,No Reporter,Editor needed,Story,00:06:42,MP4-HD,No Notes,2023-08-17 07:12:00,2023-08-17 00:00:00,0.0,-432.0
61,13-Jan-22,newstime,renting editor, $40.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:46,MP4-HD,No Notes,2023-08-17 15:00:00,2023-08-17 16:15:00,0.0,75.0
62,14-Jan-22,alghad tv,crew, $250.00 ,Suzuki Cias,achrafieh,Event Description,Cameraman,Assistant Needed,no 4G,2:00,2023-08-17 09:30:00,2023-08-17 11:30:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,Story,0,No format,No Notes,0,0,120.0,0.0
63,14-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,madine el riadiye,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 09:30:00,2023-08-17 11:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:35,MXF,PKG report-Hanan Issa: Protest of the Teachers Union in front of UNRWA/ Duration: 2Mins 35Secs,2023-08-17 14:00:00,2023-08-17 16:00:00,90.0,120.0
64,14-Jan-22,bloomberg asharq,crew + edit, $285.00 ,Renault Duster,tarriq el jdide,Event Description,Cameraman,Assistant Needed,no 4G,3:10,2023-08-17 11:20:00,2023-08-17 14:30:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,00:03:04,MP4-HD,PKG report-Maha Hoteit: Prices / Duration: 3Mins 4Secs,2023-08-17 07:12:00,2023-08-17 07:12:00,190.0,0.0
66,15-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,naher,Event Description,Cameraman,Assistant Needed,no 4G,2:20,2023-08-17 12:10:00,2023-08-17 14:30:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,140.0,0.0
69,15-Jan-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,2:00,2023-08-17 12:00:00,2023-08-17 14:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volantmedia  ,0,0,120.0,0.0
70,15-Jan-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:26,MXF-HD 50i,PKG report-Hanan Issa: Jihad Abdel Ghani / Duration: 2Mins 26Secs,2023-08-17 16:00:00,2023-08-17 18:00:00,0.0,120.0
72,16-Jan-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 16:00:00,2023-08-17 17:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:03:30,MP4-HD,PKG Report-Omar El soloh: Hezbollah and goverment / Duration: 3Mins 30Secs,2023-08-17 13:50:00,2023-08-17 14:50:00,60.0,60.0
73,16-Jan-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 14:00:00,2023-08-17 15:00:00,Sony Z150,1.0,Pro-X,No Reporter,No Editor,No story,0,No format,Volant Media,0,0,60.0,0.0
74,16-Jan-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:37,MXF,PKG Report-Leila Khalil: Mohamad Moghrabi homeless / Duration: 2Mins 37Secs,2023-08-17 12:30:00,2023-08-17 14:15:00,0.0,105.0
75,17-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,mathaf,Event Description,Cameraman,Assistant Needed,no 4G,8:40,2023-08-17 07:30:00,2023-08-17 16:10:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:32,MXF,PKG report-Claudie Abi Hanna:,2023-08-17 15:15:00,2023-08-17 17:15:00,520.0,120.0
76,17-Jan-22,alghad tv,crew + edit, $265.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 13:00:00,2023-08-17 14:30:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:03:38,MXF,PKG report-Leila Khalil: Nawafez,2023-08-17 15:20:00,2023-08-17 15:40:00,90.0,20.0
78,17-Jan-22,beirutsat,crew, $180.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:40,2023-08-17 12:50:00,2023-08-17 14:30:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,Volantmedia,0,0,100.0,0.0
79,18-Jan-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,bekaa,Event Description,Cameraman,Assistant Needed,no 4G,5:30,2023-08-17 10:00:00,2023-08-17 15:30:00,Canon XF305,1.0,Pro-X,No Reporter,Editor needed,Story,00:10:16,MP4-HD,Daily crew,2023-08-17 07:12:00,2023-08-17 03:36:00,330.0,-216.0
80,18-Jan-22,alghad tv,crew + edit, $265.00 ,Suzuki Cias,hamra,Event Description,Cameraman,Assistant Needed,no 4G,6:10,2023-08-17 09:50:00,2023-08-17 16:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:02:15,MXF,No Notes,2023-08-17 15:00:00,2023-08-17 16:20:00,370.0,80.0
83,19-Jan-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,hamra,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 15:50:00,2023-08-17 16:50:00,Sony Z150,1.0,Pro-X,No Reporter,Editor needed,Story,00;05;01,MP4,No Notes,2023-08-17 16:50:00,2023-08-17 17:20:00,60.0,30.0
84,19-Jan-22,alghad tv,crew, $250.00 ,Suzuki Cias,downtown,Event Description,Cameraman,Assistant Needed,no 4G,9:30,2023-08-17 11:45:00,2023-08-17 21:15:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,PKG report-Hanan Issa:,0,0,570.0,0.0
85,19-Jan-22,alghad tv,crew, $250.00 ,Suzuki Cias,jnah,Event Description,Cameraman,Assistant Needed,no 4G,1:30,2023-08-17 10:30:00,2023-08-17 12:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,90.0,0.0
86,19-Jan-22,russia today,crew + edit, $280.00 ,Suzuki Cias,adliyeh,Event Description,Cameraman,Assistant Needed,no 4G,2:00,2023-08-17 11:00:00,2023-08-17 13:00:00,Canon XF305,1.0,Pro-X,Reporter,Editor needed,Story,0:03:06,MP4-HD,PKG report-Omar el Solh:,2023-08-17 13:00:00,2023-08-17 14:00:00,120.0,60.0
87,19-Jan-22,beirutsat,crew, $180.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,1:00,2023-08-17 12:00:00,2023-08-17 13:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,Volant Media,0,0,60.0,0.0
88,19-Jan-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:35,MXF-HD 50i,PKG report-Hanan Issa:,2023-08-17 16:00:00,2023-08-17 17:35:00,0.0,95.0
89,20-Jan-22,alghad tv,crew, $250.00 ,Nissan X.Trail,bekaa,Event Description,Cameraman,Assistant Needed,no 4G,8:25,2023-08-17 09:35:00,2023-08-17 18:00:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,505.0,0.0
90,20-Jan-22,alghad tv,crew, $250.00 ,Suzuki Cias,achrafieh,Event Description,Cameraman,Assistant Needed,no 4G,1:15,2023-08-17 17:00:00,2023-08-17 18:15:00,Sony Z150,1.0,Pro-X,Reporter,No Editor,No story,0,No format,No Notes,0,0,75.0,0.0
92,20-Jan-22,russia today,crew + edit, $280.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,4:30,2023-08-17 11:00:00,2023-08-17 15:30:00,Canon XF305,1.0,Pro-X,Reporter,Editor needed,Story,00:02:05,MP4-HD,No Notes,0,0,270.0,0.0
93,20-Jan-22,bloomberg asharq,crew + edit, $285.00 ,Nissan X.Trail,qobelias,Event Description,Cameraman,Assistant Needed,4G,6:25,2023-08-17 09:40:00,2023-08-17 16:05:00,Sony Z150,1.0,Pro-X,No Reporter,Editor needed,Story, 00:02:04 /00:02:17,MP4-HD,No Notes,2023-08-17 17:30:00,2023-08-17 19:00:00,385.0,90.0
94,20-Jan-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:04:28,MXF-HD 50i,No Notes,2023-08-17 12:20:00,2023-08-17 14:20:00,0.0,120.0
95,21-Jan-22,bbc arabic,crew + edit, $350.00 ,Renault Duster,hamra,Event Description,Cameraman,Assistant Needed,no 4G,1:15,2023-08-17 12:00:00,2023-08-17 13:15:00,Sony Z150,1.0,Pro-X,No Reporter,Editor needed,Story,00:04:04,MP4-HD,interview with Viviane Aquiqui / Duration:4Mins 4Secs,2023-08-17 07:12:00,2023-08-17 00:00:00,75.0,-432.0
96,21-Jan-22,alghad tv,crew + edit, $265.00 ,No Car,downtown,Event Description,Cameraman,Assistant Needed,no 4G,2:00,2023-08-17 12:00:00,2023-08-17 14:00:00,Sony Z150,1.0,Pro-X,Reporter,Editor needed,Story,0:03:07,MXF-HD 50i,PKG Report-Leila Khalil: Nawafez intros Ep 94 / Duration: 3Mins 7Secs,2023-08-17 13:00:00,2023-08-17 13:20:00,120.0,20.0
99,21-Jan-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:51,MXF-HD 50i,PKG report-Leila Khalil- Al motanafas Expo / Duration: 2Mins 51Secs,2023-08-17 11:30:00,2023-08-17 13:00:00,0.0,90.0
100,21-Jan-22,alghad tv,edit, $50.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,Reporter,Editor needed,Story,0:02:38,MXF-HD 50i,PKG report-Hanan Issa-Gathering outside the camps in Bekaa / Duration: 2Mins 38Secs,2023-08-17 15:30:00,2023-08-17 17:20:00,0.0,110.0
101,21-Jan-22,Other Clients,renting editor, $100.00 ,No Car,No Location,No Event,No Cameraman,No Assistant,no 4G,0:00,0,0,No Camera needed,0,No Acces,No Reporter,Editor needed,Story,0,No format,Xtra,2023-08-17 09:00:00,2023-08-17 17:00:00,0.0,480.0
